line_id,cost_bps,sharpe,net_return,max_drawdown
combo__sma_rsi__or,0.0,0.9152660132686574,5.917189855018899,-0.4005367609146019
combo__sma_rsi__or,5.0,0.8901400273349603,5.52393329364048,-0.40067084169236933
combo__sma_rsi__or,10.0,0.8650065060492417,5.15300018852756,-0.40080489513419026
combo__sma_rsi__or,15.0,0.8398663020308612,4.803125248148632,-0.40093892124513675
combo__sma_rsi__or,20.0,0.8147202682649068,4.473114790026325,-0.40107292003028006
combo__sma_rsi__or,25.0,0.7895692579577246,4.161842694067521,-0.4012068914946908
ml_logistic_regression,0.0,0.725579365613749,9.287793976410144,-0.4401475895079997
ml_logistic_regression,5.0,0.7109419505879278,8.69684333919804,-0.45236981619253114
ml_logistic_regression,10.0,0.6962756630483596,8.139563916953817,-0.4643311543453751
ml_logistic_regression,15.0,0.6815815445516681,7.6140528192467105,-0.47603704589311757
ml_logistic_regression,20.0,0.6668606451365358,7.118513811428274,-0.4874928218966438
ml_logistic_regression,25.0,0.6521140229569715,6.651251386221981,-0.4987037047557227
