model,feature,importance_mean,importance_std
ml_lightgbm,cmf_20,0.003985690611896586,0.0008877566011362426
ml_lightgbm,volume_roc_20,0.003622948388811331,0.0009272798884007609
ml_lightgbm,adx_14,0.0023472761996828017,0.0007964100342276662
ml_lightgbm,bb_width_20_2.0,0.0012192686545446697,0.000635914223049523
ml_lightgbm,roc_20,0.0012160106179135654,0.001180809815742112
ml_lightgbm,volatility_20,0.0012054675275168015,0.0006951927847801809
ml_lightgbm,williams_r_14,0.0011682297251150553,0.00041426207329293095
ml_lightgbm,stoch_k_14,0.000866278385938657,0.0007185046946548903
ml_lightgbm,price_sma_dist_50,0.0007785301725923621,0.0007460315709926623
ml_lightgbm,keltner_position_20_10,0.0007659410982656323,0.0010394278274934586
ml_lightgbm,stoch_d_14_3,0.0005213442444585326,0.000991970935593331
ml_lightgbm,ema_cross_12_26,0.000491836841295501,0.0004882984392086782
ml_lightgbm,ema_12,0.0002852158466317145,0.0002274631558413545
ml_lightgbm,sma_cross_20_50,0.00026596015769513314,0.0008825076345440273
ml_lightgbm,macd_hist,0.00026245321545129705,0.0008450084062595938
ml_lightgbm,sma_20,-2.249232791214917e-05,0.00017261395845520982
ml_lightgbm,rsi_14,-4.8613525012897174e-05,0.0008922275780386257
ml_lightgbm,macd,-8.130333329581241e-05,0.0004989786292283118
ml_lightgbm,ema_slope_20_5,-8.871594306920638e-05,0.0009215687058637229
ml_lightgbm,sma_50,-0.00015084943063690127,0.00015692825587615512
ml_lightgbm,ema_26,-0.0002932192554190749,7.91234849546545e-05
ml_lightgbm,atr_14,-0.00034205133962246227,0.000426439085563716
ml_lightgbm,macd_signal,-0.0004193164337416344,0.0004864869478027512
ml_lightgbm,atr_pct_14,-0.00048795827265197823,0.0007642345852397908
ml_lightgbm,minus_di_14,-0.0006869545934242716,0.0007673627819173641
ml_lightgbm,cci_20,-0.0007435093910305501,0.0008380406130904141
ml_lightgbm,plus_di_14,-0.0008308294708460617,0.0007372815463583363
ml_lightgbm,bb_zscore_20_2.0,-0.0008969333601662188,0.00047747986906810925
ml_lightgbm,mfi_14,-0.000969381780666334,0.0004254971948769218
ml_lightgbm,donchian_position_20,-0.001121095200284339,0.0005611462418304053
ml_logistic_regression,price_sma_dist_50,0.012141264911910681,0.0012766896730251728
ml_logistic_regression,rsi_14,0.010261126163882677,0.0011194117146470508
ml_logistic_regression,cmf_20,0.0076905195655327056,0.0006888761726329828
ml_logistic_regression,bb_zscore_20_2.0,0.0058876637369895905,0.001168748750586149
ml_logistic_regression,ema_cross_12_26,0.0042828096892798765,0.0008930949840338485
ml_logistic_regression,sma_cross_20_50,0.002569268541241743,0.000832364840924368
ml_logistic_regression,stoch_d_14_3,0.002395860424701801,0.0008522069642613923
ml_logistic_regression,adx_14,0.002118908078428272,0.0008919971544053784
ml_logistic_regression,cci_20,0.0020768439680499463,0.0009226939193467186
ml_logistic_regression,volatility_20,0.001775842966235497,0.0004908142445952316
ml_logistic_regression,sma_20,0.0011291885658260225,0.0006333371438608025
ml_logistic_regression,plus_di_14,0.0007618619040483555,0.000934451121346993
ml_logistic_regression,sma_50,0.0007346008578027474,0.0005248351292958099
ml_logistic_regression,atr_14,0.000521327357269985,0.0004162252830944762
ml_logistic_regression,donchian_position_20,0.0004393658927084987,0.0007677541207339533
ml_logistic_regression,ema_slope_20_5,0.00040217185987886375,0.000729047214533143
ml_logistic_regression,roc_20,0.0003580672142147412,0.0010065040398870122
ml_logistic_regression,keltner_position_20_10,0.0002814879997544706,0.0008779566365827511
ml_logistic_regression,minus_di_14,0.0002801763559412751,0.0007293014427186278
ml_logistic_regression,ema_26,0.00013834259114509084,0.00020279595638941973
ml_logistic_regression,ema_12,0.0001136084167825735,0.00017578131529733107
ml_logistic_regression,mfi_14,1.591401020478722e-05,5.849705361079942e-05
ml_logistic_regression,volume_roc_20,-9.821271336596383e-06,3.090568292574199e-05
ml_logistic_regression,macd_signal,-2.006667090919123e-05,3.384569968788833e-05
ml_logistic_regression,macd,-6.235933567305674e-05,4.8561479129147935e-05
ml_logistic_regression,macd_hist,-0.00011225563751010581,0.00018961762805574754
ml_logistic_regression,atr_pct_14,-0.00025534396164875737,0.0004699677313089722
ml_logistic_regression,bb_width_20_2.0,-0.0002779222049368757,0.00013271787255762492
ml_logistic_regression,stoch_k_14,-0.0005807159911038528,0.0005576769169927043
ml_logistic_regression,williams_r_14,-0.0005807159911038528,0.0005576769169927043
